50
(1, 3)
L (7, 35) 0
L (26, 45) 0
L (10, 2) 0
L (32, 35) 0
L (37, 29) 0
L (46, 7) 0
L (21, 17) 0
L (1, 11) 0
L (1, 16) 0
L (34, 12) 0
L (43, 3) 0
L (14, 19) 0
L (34, 32) 0
L (49, 37) 0
L (32, 7) 0
L (19, 19) 0
L (32, 10) 0
L (11, 35) 0
L (16, 10) 0
L (26, 17) 0
L (37, 16) 0
L (41, 43) 0
L (48, 13) 0
L (48, 35) 0
L (4, 44) 0
L (30, 0) 0
L (48, 41) 0
L (28, 20) 0
L (20, 22) 0
L (28, 47) 0
L (33, 7) 0
L (6, 40) 0
L (43, 37) 0
L (39, 0) 0
L (35, 11) 0
L (13, 26) 0
L (37, 18) 0
L (3, 33) 0
L (7, 5) 0
L (48, 25) 0
L (41, 5) 0
L (18, 27) 0
L (7, 48) 0
L (26, 47) 0
L (38, 21) 0
L (1, 21) 0
L (25, 15) 0
L (31, 23) 0
L (22, 26) 0
L (8, 41) 0
L (36, 27) 0
L (37, 7) 0
L (24, 43) 0
L (39, 31) 0
L (18, 45) 0
L (24, 23) 0
L (18, 32) 0
L (33, 5) 0
L (37, 12) 0
L (24, 18) 0
L (32, 15) 0
L (12, 10) 0
L (31, 4) 0
L (2, 32) 0
L (1, 37) 0
L (4, 16) 0
L (20, 32) 0
L (36, 44) 0
L (48, 36) 0
L (5, 0) 0
L (27, 41) 0
L (29, 16) 0
L (0, 3) 1
L (16, 4) 1
L (15, 1) 1
L (20, 0) 1
L (19, 6) 1
L (22, 5) 1
L (21, 20) 1
L (24, 19) 1
L (25, 22) 1
L (21, 21) 1
L (20, 42) 1
L (36, 43) 1
L (35, 36) 1
L (39, 37) 1
L (38, 32) 1
L (45, 31) 1
L (46, 36) 1
L (41, 35) 1
L (42, 40) 1
L (26, 39) 1
L (27, 44) 1
L (19, 45) 1
L (11, 37) 1
L (8, 38) 1
L (9, 30) 1
L (6, 31) 1
L (10, 43) 1
L (5, 15) 1
