50
(12, 23)
L (45, 41) 0
L (12, 6) 0
L (41, 41) 0
L (49, 49) 0
L (24, 32) 0
L (24, 40) 0
L (15, 18) 0
L (42, 49) 0
L (23, 3) 0
L (0, 10) 0
L (7, 6) 0
L (10, 42) 0
L (13, 26) 0
L (21, 2) 0
L (18, 16) 0
L (29, 22) 0
L (0, 38) 0
L (32, 36) 0
L (7, 48) 0
L (17, 5) 0
L (29, 32) 0
L (29, 40) 0
L (34, 44) 0
L (27, 31) 0
L (39, 38) 0
L (40, 38) 0
L (41, 19) 0
L (49, 27) 0
L (31, 16) 0
L (2, 48) 0
L (11, 14) 0
L (1, 1) 0
L (22, 2) 0
L (27, 4) 0
L (38, 38) 0
L (36, 24) 0
L (0, 34) 0
L (29, 49) 0
L (7, 9) 0
L (33, 2) 0
L (28, 24) 0
L (41, 45) 0
L (10, 32) 0
L (23, 0) 0
L (4, 24) 0
L (30, 32) 0
L (44, 11) 0
L (45, 2) 0
L (23, 20) 0
L (37, 10) 0
L (26, 27) 0
L (12, 4) 0
L (18, 5) 0
L (19, 26) 0
L (3, 0) 0
L (13, 30) 0
L (7, 39) 0
L (29, 0) 0
L (43, 39) 0
L (15, 24) 0
L (1, 31) 0
L (11, 7) 0
L (30, 7) 0
L (43, 23) 0
L (19, 15) 0
L (32, 26) 0
L (47, 23) 0
L (32, 32) 0
L (26, 37) 0
L (6, 40) 0
L (4, 8) 0
L (20, 2) 0
L (4, 23) 0
L (2, 30) 0
L (13, 39) 0
L (16, 25) 0
L (27, 9) 0
L (13, 38) 0
L (28, 1) 0
L (10, 5) 0
L (23, 6) 0
L (48, 37) 0
L (22, 0) 0
L (15, 20) 0
L (34, 20) 0
L (33, 17) 0
L (47, 41) 0
L (43, 15) 0
L (27, 43) 0
L (24, 7) 0
L (49, 31) 0
L (46, 27) 0
L (35, 27) 0
L (11, 6) 0
L (3, 25) 0
L (12, 32) 0
L (3, 26) 0
L (19, 41) 0
L (38, 45) 0
L (21, 10) 0
L (6, 2) 0
L (49, 16) 0
L (18, 9) 0
L (37, 12) 0
L (24, 17) 0
L (13, 28) 0
L (47, 37) 0
L (33, 5) 0
L (42, 10) 0
L (19, 17) 0
L (4, 27) 0
L (3, 8) 0
L (42, 0) 0
L (9, 43) 0
L (37, 21) 0
L (4, 33) 0
L (6, 12) 0
L (11, 34) 0
L (45, 9) 0
L (5, 19) 4
L (8, 16) 1
L (9, 16) 2
L (10, 16) 3
L (12, 16) 1
L (14, 17) 1
B (6, 17) 0 0
B (6, 18) 1 0
B (6, 19) 2 0
B (6, 20) 3 0
B (6, 21) 4 0
B (6, 22) 5 0
L (5, 20) 5
L (5, 21) 2
L (5, 22) 2
S (8, 22) 5
S (9, 21) 5
S (10, 20) 5
S (8, 21) 4
S (9, 20) 4
S (10, 19) 4
S (8, 20) 3
S (9, 19) 3
S (8, 19) 2
S (9, 18) 2
S (8, 18) 1
S (8, 17) 0
L (7, 24) 1
L (13, 24) 6
L (14, 23) 5
L (5, 16) 3
L (5, 18) 3
L (5, 17) 2
