50
(44, 47)
L (45, 22) 0
L (48, 39) 0
L (39, 49) 0
L (48, 9) 0
L (17, 24) 0
L (22, 41) 0
L (46, 29) 0
L (25, 33) 0
L (0, 33) 0
L (42, 49) 0
L (20, 45) 0
L (41, 36) 0
L (21, 26) 0
L (11, 39) 0
L (6, 39) 0
L (38, 20) 0
L (9, 32) 0
L (40, 17) 0
L (42, 1) 0
L (13, 32) 0
L (6, 40) 0
L (29, 18) 0
L (33, 14) 0
L (32, 5) 0
L (6, 10) 0
L (35, 29) 0
L (16, 3) 0
L (32, 20) 0
L (23, 6) 0
L (10, 37) 0
L (20, 34) 0
L (36, 23) 0
L (29, 3) 0
L (21, 24) 0
L (40, 4) 0
L (43, 42) 0
L (31, 15) 0
L (4, 45) 0
L (9, 10) 0
L (27, 43) 0
L (10, 12) 0
L (19, 10) 0
L (19, 4) 0
L (15, 36) 0
L (12, 29) 0
L (7, 33) 0
L (25, 37) 0
L (12, 27) 0
L (39, 32) 0
L (40, 44) 0
L (19, 42) 0
L (9, 16) 0
L (44, 24) 0
L (30, 26) 0
L (29, 1) 0
L (22, 11) 0
L (1, 30) 0
L (47, 36) 0
L (4, 4) 0
L (4, 19) 0
L (16, 0) 0
L (11, 47) 0
L (48, 27) 0
L (5, 32) 0
L (23, 43) 0
L (24, 35) 0
L (49, 34) 0
L (36, 40) 0
L (21, 35) 0
L (19, 24) 0
L (43, 22) 0
L (17, 16) 0
L (2, 30) 0
L (3, 32) 0
L (38, 5) 0
L (25, 8) 0
L (45, 39) 0
L (42, 35) 0
L (0, 21) 0
L (11, 28) 0
L (32, 0) 0
L (35, 21) 0
L (29, 48) 0
L (15, 41) 0
L (41, 25) 0
L (38, 36) 0
L (0, 15) 0
L (15, 13) 0
L (26, 3) 0
L (43, 28) 0
L (12, 15) 0
L (31, 22) 0
L (47, 27) 0
L (48, 38) 0
L (8, 2) 0
L (0, 28) 0
L (4, 49) 0
L (6, 43) 0
L (31, 2) 0
L (49, 14) 0
L (15, 21) 0
L (47, 49) 0
L (41, 13) 0
L (36, 25) 0
L (46, 6) 0
L (33, 43) 0
L (11, 40) 0
L (39, 45) 0
L (23, 11) 0
L (0, 17) 0
L (11, 11) 0
L (28, 35) 0
L (19, 13) 0
L (26, 15) 0
L (35, 3) 0
L (39, 35) 0
L (18, 49) 0
L (45, 17) 0
L (3, 16) 0
L (6, 18) 0
L (10, 25) 0
L (19, 29) 0
L (44, 1) 0
L (48, 16) 0
L (6, 1) 0
L (34, 23) 0
L (28, 46) 0
L (38, 19) 0
L (49, 28) 0
L (46, 3) 0
L (32, 9) 0
L (26, 39) 0
L (5, 34) 0
L (40, 35) 0
L (35, 30) 0
L (1, 3) 0
L (31, 9) 0
L (19, 16) 0
L (42, 16) 0
L (32, 49) 0
L (38, 47) 0
L (43, 4) 0
L (6, 33) 0
L (17, 15) 0
L (30, 5) 0
L (35, 9) 0
L (36, 20) 0
L (12, 35) 0
L (48, 48) 0
L (0, 42) 0
L (31, 47) 0
L (8, 21) 0
L (16, 28) 0
L (15, 3) 0
L (43, 14) 0
L (48, 41) 0
L (6, 48) 0
L (35, 47) 0
L (44, 29) 0
L (45, 43) 0
L (41, 38) 0
L (19, 40) 0
L (32, 7) 0
L (22, 45) 0
L (20, 18) 0
L (6, 12) 0
L (48, 44) 0
L (4, 24) 0
L (20, 47) 0
L (30, 38) 0
L (34, 1) 0
L (48, 30) 0
L (40, 21) 0
L (3, 0) 0
L (23, 47) 0
L (29, 36) 0
L (48, 19) 0
L (28, 16) 0
L (40, 33) 0
L (14, 38) 0
L (2, 28) 0
L (11, 7) 0
L (20, 38) 0
L (22, 12) 0
L (46, 15) 0
L (14, 6) 0
L (1, 27) 0
L (8, 42) 0
L (13, 44) 0
L (22, 48) 0
L (34, 3) 0
L (41, 28) 0
L (17, 3) 0
L (26, 33) 0
L (35, 46) 0
L (0, 27) 0
L (29, 7) 0
L (46, 25) 0
L (32, 23) 0
L (44, 48) 1
L (45, 31) 1
L (36, 30) 1
L (37, 39) 1
L (33, 38) 1
L (34, 42) 1
L (30, 45) 0
L (25, 43) 1
L (26, 38) 1
L (21, 39) 1
L (22, 36) 1
L (16, 37) 1
L (17, 29) 1
L (13, 30) 1
L (0, 5) 1
L (28, 4) 1
L (27, 13) 1
L (40, 14) 1
L (39, 6) 1
L (44, 5) 1
L (45, 21) 1
L (41, 20) 1
L (40, 24) 1
L (43, 23) 1
L (44, 26) 1
L (14, 23) 1
L (1, 24) 1
L (31, 25) 1
L (31, 44) 1
B (31, 26) 0 0
S (31, 43) 0
