50
(48, 11)
L (47, 2) 0
L (21, 47) 0
L (14, 14) 0
L (35, 41) 0
L (38, 46) 0
L (3, 49) 0
L (27, 37) 0
L (12, 18) 0
L (44, 42) 0
L (7, 39) 0
L (44, 11) 0
L (38, 23) 0
L (35, 43) 0
L (38, 41) 0
L (15, 42) 0
L (3, 27) 0
L (2, 15) 0
L (30, 45) 0
L (5, 39) 0
L (29, 7) 0
L (39, 9) 0
L (32, 33) 0
L (40, 46) 0
L (38, 42) 0
L (25, 32) 0
L (12, 38) 0
L (23, 19) 0
L (39, 11) 0
L (38, 19) 0
L (9, 28) 0
L (4, 2) 0
L (49, 28) 0
L (6, 10) 0
L (39, 3) 0
L (35, 10) 0
L (7, 0) 0
L (26, 7) 0
L (7, 46) 0
L (30, 40) 0
L (7, 5) 0
L (45, 21) 0
L (39, 48) 0
L (47, 3) 0
L (13, 34) 0
L (14, 22) 0
L (41, 44) 0
L (32, 31) 0
L (0, 18) 0
L (22, 45) 0
L (5, 37) 0
L (37, 34) 0
L (23, 46) 0
L (31, 27) 0
L (9, 12) 0
L (8, 19) 0
L (48, 16) 0
L (25, 36) 0
L (38, 3) 0
L (16, 15) 0
L (35, 31) 0
L (29, 30) 0
L (27, 5) 0
L (45, 6) 0
L (42, 8) 0
L (45, 36) 0
L (0, 7) 0
L (20, 36) 0
L (14, 26) 0
L (10, 38) 0
L (26, 40) 0
L (35, 12) 0
L (3, 17) 0
L (22, 15) 0
L (12, 44) 0
L (49, 24) 0
L (3, 36) 0
L (34, 7) 0
L (8, 17) 0
L (1, 37) 0
L (44, 41) 0
L (6, 13) 0
L (38, 14) 0
L (16, 12) 0
L (22, 46) 0
L (8, 8) 0
L (38, 33) 0
L (28, 4) 0
L (24, 16) 0
L (41, 16) 0
L (23, 47) 0
L (44, 21) 0
L (9, 3) 0
L (36, 21) 0
L (43, 3) 0
L (12, 1) 0
L (2, 46) 0
L (37, 0) 0
L (28, 0) 0
L (11, 21) 0
L (2, 0) 0
L (20, 13) 0
L (4, 21) 0
L (42, 34) 0
L (5, 10) 0
L (3, 21) 0
L (22, 37) 0
L (40, 45) 0
L (28, 10) 0
L (36, 35) 0
L (23, 5) 0
L (11, 16) 0
L (26, 16) 0
L (22, 5) 0
L (39, 35) 0
L (32, 15) 0
L (48, 39) 0
L (27, 20) 0
L (36, 34) 0
L (39, 44) 0
L (36, 38) 0
L (22, 22) 0
L (23, 37) 0
L (43, 38) 0
L (10, 46) 0
L (13, 18) 0
L (32, 32) 0
L (20, 35) 0
L (6, 23) 0
L (12, 40) 0
L (48, 18) 0
L (25, 9) 0
L (0, 16) 0
L (40, 49) 0
L (1, 32) 0
L (26, 11) 0
L (19, 29) 0
L (31, 28) 0
L (31, 19) 0
L (15, 30) 0
L (43, 19) 0
L (27, 49) 0
L (22, 29) 0
L (1, 0) 0
L (24, 33) 0
L (10, 40) 0
L (31, 43) 0
L (46, 31) 0
L (7, 43) 0
L (6, 45) 0
L (19, 41) 0
L (49, 19) 0
L (0, 36) 0
L (38, 9) 0
L (25, 12) 0
L (6, 29) 0
L (20, 33) 0
L (32, 9) 0
L (45, 8) 0
L (2, 35) 0
L (27, 41) 0
L (42, 49) 0
L (44, 10) 0
L (28, 37) 0
L (6, 4) 0
L (29, 49) 0
L (48, 12) 1
L (49, 1) 1
L (46, 0) 1
L (45, 22) 1
L (48, 21) 1
L (49, 25) 1
L (46, 24) 1
L (47, 30) 1
L (36, 31) 1
L (35, 22) 1
L (42, 23) 1
L (43, 18) 1
L (14, 17) 1
L (15, 21) 1
L (12, 20) 1
L (11, 37) 1
L (17, 36) 1
L (16, 39) 1
L (21, 40) 1
L (20, 34) 1
L (31, 33) 1
L (30, 39) 1
L (42, 38) 1
